Date and time,Mode,Distance,Duration,Price
2022-01-26 20:15,Bus,2.4,0.07,1.0
2022-12-30 19:34,Bus,2.5,0.12,1.0
2022-06-28 08:30,Bus,1.1,0.07,1.0
2022-10-16 11:53,Bus,4.4,0.17,1.0
2022-05-07 10:44,Bus,4.1,0.12,1.0
2022-04-06 20:30,Bus,4.1,0.13,1.0
2022-09-14 16:42,Bus,2.6,0.11,1.0
2022-03-28 13:21,Bus,8.8,0.33,1.0
2022-07-06 22:40,Bus,9.3,0.4,1.0
2022-12-28 21:17,Bus,0.7,0.03,1.0
2022-09-14 21:04,Bus,3.7,0.16,1.0
2022-11-28 18:01,Bus,3.0,0.1,1.0
2022-10-17 14:18,Bus,3.2,0.13,1.0
2022-04-13 09:39,Bus,2.0,0.06,1.0
2022-02-10 08:29,Bus,1.9,0.09,1.0
2022-11-11 16:29,Bus,4.1,0.19,1.0
2022-06-27 20:22,Bus,3.5,0.15,1.0
2022-10-16 18:27,Bus,1.0,0.05,1.0
2022-10-06 17:13,Bus,6.0,0.31,1.0
2022-02-01 17:37,Bus,3.0,0.13,1.0
2022-09-11 17:29,Bus,1.6,0.09,1.0
2022-04-23 12:29,Bus,1.3,0.06,1.0
2022-10-05 10:17,Bus,3.8,0.12,1.0
2022-02-26 13:39,Bus,7.4,0.33,1.0
2022-05-16 16:28,Bus,5.1,0.16,1.0
2022-08-20 19:07,Bus,10.7,0.35,1.0
2022-04-23 13:36,Bus,8.0,0.27,1.0
2022-09-08 21:25,Bus,2.7,0.14,1.0
2022-02-17 22:12,Bus,1.7,0.06,1.0
2022-07-04 22:15,Bus,1.7,0.07,1.0
2022-12-09 08:41,Bus,0.8,0.03,1.0
2022-07-02 09:14,Bus,1.4,0.04,1.0
2022-10-27 11:03,Bus,0.9,0.03,1.0
2022-07-29 19:33,Bus,5.1,0.19,1.0
2022-02-23 18:53,Bus,1.3,0.04,1.0
2022-05-03 08:41,Bus,6.0,0.4,1.0
2022-02-12 14:59,Bus,3.2,0.13,1.0
2022-09-23 15:36,Bus,7.7,0.28,1.0
2022-03-19 16:43,Bus,9.9,0.39,1.0
2022-02-25 20:33,Bus,2.2,0.08,1.0
2022-02-03 07:43,Bus,2.0,0.09,1.0
2022-05-03 19:11,Bus,4.7,0.19,1.0
2022-04-13 20:25,Bus,2.0,0.07,1.0
2022-10-29 20:11,Bus,7.5,0.33,1.0
2022-02-12 17:43,Bus,6.0,0.22,1.0
2022-01-15 21:09,Bus,6.5,0.22,1.0
2022-01-10 09:29,Bus,1.2,0.05,1.0
2022-07-13 10:43,Bus,4.0,0.14,1.0
2022-12-07 12:29,Bus,7.1,0.27,1.0
2022-05-14 10:19,Bus,2.4,0.09,1.0
2022-05-13 20:53,Bus,2.1,0.1,1.0
2022-11-24 16:50,Bus,1.9,0.09,1.0
2022-10-26 14:58,Bus,5.3,0.25,1.0
2022-04-06 17:27,Bus,3.6,0.14,1.0
2022-12-17 23:08,Bus,4.4,0.14,1.0
2022-01-21 20:58,Bus,20.6,0.86,1.0
2022-06-20 13:50,Bus,3.9,0.16,1.0
2022-11-12 14:25,Bus,3.0,0.16,1.0
2022-07-03 14:10,Bus,2.4,0.08,1.0
2022-11-26 20:29,Bus,3.7,0.15,1.0
2022-11-26 12:49,Bus,6.2,0.29,1.0
2022-01-15 10:03,Bus,7.0,0.31,1.0
2022-03-29 09:24,Bus,7.7,0.35,1.0
2022-12-08 17:19,Bus,5.1,0.29,1.0
2022-11-25 07:29,Bus,4.3,0.22,1.0
2022-01-14 15:05,Bus,5.1,0.19,1.0
2022-10-08 20:22,Bus,11.8,0.37,1.0
2022-04-15 22:50,Bus,3.2,0.12,1.0
2022-07-26 07:06,Bus,2.2,0.11,1.0
2022-10-17 20:29,Bus,4.8,0.24,1.0
2022-05-20 18:05,Bus,4.3,0.16,1.0
2022-10-15 13:18,Bus,0.7,0.02,1.0
2022-02-24 08:39,Bus,4.5,0.16,1.0
2022-02-20 13:58,Bus,3.3,0.12,1.0
2022-05-29 10:36,Bus,7.1,0.32,1.0
2022-04-16 10:41,Bus,4.6,0.16,1.0
2022-01-27 14:58,Bus,8.4,0.32,1.0
2022-04-19 22:00,Bus,2.8,0.08,1.0
2022-03-03 20:48,Bus,6.2,0.29,1.0
2022-11-07 20:14,Bus,10.0,0.54,1.0
2022-06-17 20:04,Bus,7.2,0.27,1.0
2022-01-19 08:14,Bus,9.1,0.69,1.0
2022-04-01 16:39,Bus,8.2,0.36,1.0
2022-08-11 22:37,Bus,5.0,0.16,1.0
2022-12-30 19:13,Bus,3.6,0.18,1.0
2022-10-08 18:24,Bus,3.1,0.13,1.0
2022-01-06 12:46,Bus,21.6,0.91,1.0
2022-10-10 18:39,Bus,3.5,0.17,1.0
2022-12-31 21:52,Bus,1.9,0.1,1.0
2022-02-25 18:39,Bus,9.7,0.4,1.0
2022-09-22 11:04,Bus,2.0,0.08,1.0
2022-10-14 16:05,Bus,0.8,0.04,1.0
2022-01-27 09:21,Bus,1.8,0.06,1.0
2022-12-26 22:51,Bus,3.7,0.11,1.0
2022-06-09 10:11,Bus,5.9,0.2,1.0
2022-11-23 17:21,Bus,3.0,0.14,1.0
2022-12-12 18:45,Bus,3.7,0.21,1.0
2022-01-27 10:38,Bus,1.3,0.06,1.0
2022-03-25 08:53,Bus,3.9,0.14,1.0
2022-03-08 13:53,Bus,8.8,0.36,1.0
2022-09-22 18:58,Bus,3.0,0.11,1.0
2022-11-06 10:21,Bus,2.3,0.07,1.0
2022-10-21 20:42,Bus,5.7,0.22,1.0
2022-03-10 16:00,Bus,3.6,0.18,1.0
2022-10-20 21:45,Bus,3.7,0.13,1.0
2022-10-31 17:55,Bus,5.2,0.16,1.0
2022-09-02 15:59,Bus,11.2,0.44,1.0
2022-09-29 19:27,Bus,6.1,0.25,1.0
2022-06-01 18:34,Bus,1.7,0.06,1.0
2022-07-29 11:35,Bus,2.6,0.07,1.0
2022-04-15 21:55,Bus,1.5,0.08,1.0
2022-02-05 21:06,Bus,1.8,0.07,1.0
2022-04-02 18:38,Bus,4.5,0.2,1.0
2022-07-22 20:43,Bus,1.4,0.05,1.0
2022-03-22 19:46,Bus,2.1,0.11,1.0
2022-02-14 11:17,Bus,3.1,0.11,1.0
2022-04-21 08:24,Bus,1.5,0.1,1.0
2022-10-28 16:00,Bus,3.0,0.1,1.0
2022-11-25 20:13,Bus,11.5,0.39,1.0
2022-09-14 23:12,Bus,4.0,0.17,1.0
2022-11-25 09:12,Bus,2.6,0.15,1.0
2022-08-19 20:11,Bus,4.5,0.22,1.0
2022-11-23 08:06,Bus,5.0,0.21,1.0
2022-08-10 12:31,Bus,3.1,0.15,1.0
2022-07-25 12:05,Bus,4.5,0.18,1.0
2022-02-01 08:53,Bus,7.1,0.26,1.0
2022-08-22 10:21,Bus,1.3,0.06,1.0
2022-10-31 09:05,Bus,8.5,0.36,1.0
2022-02-24 18:34,Bus,4.8,0.2,1.0
2022-02-18 14:18,Bus,5.6,0.21,1.0
2022-09-27 15:18,Bus,0.8,0.03,1.0
2022-01-10 19:01,Bus,5.3,0.3,1.0
2022-02-12 15:32,Bus,2.2,0.1,1.0
2022-01-15 20:20,Bus,5.4,0.23,1.0
2022-06-15 22:36,Bus,1.1,0.04,1.0
2022-01-17 22:03,Bus,10.8,0.38,1.0
2022-02-18 19:19,Bus,7.4,0.27,1.0
2022-09-06 19:36,Bus,2.8,0.09,1.0
2022-05-11 18:37,Bus,4.4,0.14,1.0
2022-12-12 17:31,Bus,11.1,0.4,1.0
2022-08-06 13:42,Bus,14.6,0.51,1.0
2022-10-22 16:59,Bus,1.5,0.05,1.0
2022-02-11 22:01,Bus,2.2,0.08,1.0
2022-10-28 19:53,Bus,3.6,0.12,1.0
2022-07-21 08:51,Bus,4.9,0.26,1.0
2022-05-20 11:33,Bus,1.3,0.06,1.0
2022-02-11 09:07,Bus,1.7,0.06,1.0
2022-07-04 22:47,Bus,5.0,0.25,1.0
2022-10-16 15:29,Bus,0.7,0.02,1.0
2022-08-01 11:07,Bus,3.5,0.14,1.0
2022-01-12 08:04,Bus,4.3,0.18,1.0
2022-04-19 20:05,Bus,1.7,0.09,1.0
2022-05-24 16:35,Bus,2.4,0.11,1.0
2022-12-27 18:37,Bus,6.1,0.25,1.0
2022-02-06 07:34,Bus,2.3,0.1,1.0
2022-05-14 18:56,Bus,3.9,0.2,1.0
2022-12-18 18:20,Bus,5.9,0.24,1.0
2022-07-07 19:11,Bus,7.3,0.34,1.0
2022-05-05 13:32,Bus,1.2,0.04,1.0
2022-07-31 12:12,Bus,4.0,0.18,1.0
2022-10-20 17:04,Bus,5.9,0.23,1.0
2022-05-23 13:08,Bus,3.1,0.12,1.0
2022-05-26 18:46,Bus,11.5,0.39,1.0
2022-11-02 10:08,Bus,2.8,0.13,1.0
2022-10-24 17:16,Bus,1.1,0.07,1.0
2022-06-20 09:25,Bus,1.4,0.05,1.0
2022-01-01 10:27,Bus,7.5,0.28,1.0
2022-02-19 16:02,Bus,7.2,0.28,1.0
2022-07-10 11:31,Bus,9.8,0.47,1.0
2022-09-03 18:20,Bus,1.9,0.06,1.0
2022-01-17 11:46,Bus,7.3,0.3,1.0
2022-03-18 09:34,Bus,4.5,0.21,1.0
2022-10-21 10:45,Bus,3.1,0.1,1.0
2022-02-04 18:46,Bus,6.3,0.22,1.0
2022-08-03 17:20,Bus,6.0,0.24,1.0
2022-04-05 19:08,Bus,2.8,0.11,1.0
2022-04-01 14:38,Bus,2.3,0.07,1.0
2022-12-09 21:53,Bus,1.8,0.08,1.0
2022-08-24 19:10,Bus,1.7,0.07,1.0
2022-10-04 11:20,Bus,0.8,0.03,1.0
2022-02-27 11:58,Bus,2.4,0.08,1.0
2022-05-06 22:05,Bus,10.6,0.37,1.0
2022-02-17 08:18,Bus,8.7,1.12,1.0
2022-05-05 15:43,Bus,4.4,0.19,1.0
2022-01-13 19:59,Bus,2.2,0.1,1.0
2022-09-01 11:29,Bus,2.1,0.08,1.0
2022-01-06 17:36,Bus,2.2,0.08,1.0
2022-09-21 08:46,Bus,2.1,0.08,1.0
2022-12-05 07:59,Bus,2.7,0.15,1.0
2022-04-06 20:17,Bus,7.2,0.26,1.0
2022-01-29 17:28,Bus,3.6,0.15,1.0
2022-07-23 16:21,Bus,1.9,0.07,1.0
2022-05-10 08:06,Bus,6.9,0.33,1.0
2022-03-25 20:01,Bus,1.2,0.05,1.0
2022-06-04 19:29,Bus,5.0,0.17,1.0
2022-11-21 07:40,Bus,6.0,0.32,1.0
2022-06-30 19:10,Bus,6.4,0.24,1.0
2022-06-04 20:57,Bus,4.5,0.18,1.0
2022-09-29 19:44,Bus,8.4,0.29,1.0
2022-01-14 21:33,Bus,3.6,0.17,1.0
2022-01-10 20:46,Bus,3.2,0.09,1.0
2022-03-29 17:54,Bus,6.8,0.29,1.0
2022-10-04 11:16,Bus,6.8,0.21,1.0
2022-09-02 19:20,Bus,13.3,0.42,1.0
2022-06-15 18:27,Bus,4.6,0.17,1.0
2022-12-29 09:57,Bus,4.6,0.2,1.0
2022-12-17 18:34,Bus,1.4,0.06,1.0
2022-04-04 10:07,Bus,2.9,0.12,1.0
2022-10-28 08:35,Bus,2.8,0.12,1.0
2022-08-24 19:47,Bus,1.4,0.06,1.0
2022-10-26 09:15,Bus,9.8,0.43,1.0
2022-10-11 18:20,Bus,3.4,0.14,1.0
2022-05-03 20:41,Bus,4.1,0.15,1.0
2022-08-16 10:31,Bus,11.6,0.58,1.0
2022-03-08 08:13,Bus,2.2,0.11,1.0
2022-12-16 20:14,Bus,4.0,0.16,1.0
2022-11-29 17:52,Bus,4.0,0.16,1.0
2022-01-07 20:54,Bus,10.5,0.46,1.0
2022-11-01 11:22,Bus,5.6,0.17,1.0
2022-08-29 06:44,Bus,10.8,0.39,1.0
2022-02-27 21:00,Bus,4.0,0.19,1.0
2022-04-07 15:29,Bus,6.2,0.2,1.0
2022-12-24 21:44,Bus,3.4,0.15,1.0
2022-08-19 21:02,Bus,3.8,0.15,1.0
2022-02-25 19:11,Bus,1.6,0.05,1.0
2022-06-27 14:53,Bus,6.1,0.2,1.0
2022-03-08 11:41,Bus,5.5,0.2,1.0
2022-02-27 07:40,Bus,5.6,0.2,1.0
2022-10-29 18:58,Bus,4.6,0.15,1.0
2022-12-09 12:03,Bus,4.3,0.16,1.0
2022-01-14 17:59,Bus,1.9,0.08,1.0
2022-05-04 16:48,Bus,4.2,0.21,1.0
2022-08-10 22:09,Bus,7.0,0.29,1.0
2022-12-11 12:55,Bus,7.1,0.3,1.0
2022-03-08 20:57,Bus,3.6,0.13,1.0
2022-11-28 23:07,Bus,2.2,0.1,1.0
2022-10-04 18:05,Bus,5.7,0.23,1.0
2022-02-03 10:03,Bus,4.3,0.17,1.0
2022-09-01 18:50,Bus,3.6,0.12,1.0
2022-09-07 09:16,Bus,1.5,0.08,1.0
2022-09-17 09:19,Bus,0.8,0.03,1.0
2022-05-24 13:01,Bus,9.0,0.39,1.0
2022-02-09 19:21,Bus,6.1,0.26,1.0
2022-08-01 07:31,Bus,5.5,0.18,1.0
2022-06-18 16:41,Bus,1.4,0.05,1.0
2022-06-25 22:22,Bus,5.0,0.22,1.0
2022-08-30 12:15,Bus,2.2,0.08,1.0
2022-06-06 09:48,Bus,4.5,0.18,1.0
2022-11-02 14:52,Bus,12.3,0.51,1.0
2022-11-01 23:08,Bus,5.2,0.18,1.0
2022-12-21 09:25,Bus,5.1,0.25,1.0
2022-08-05 20:30,Bus,5.9,0.28,1.0
2022-09-14 17:01,Bus,6.4,0.25,1.0
2022-08-31 18:37,Bus,11.3,0.47,1.0
2022-06-29 15:56,Bus,5.9,0.19,1.0
2022-05-27 16:25,Bus,2.1,0.1,1.0
2022-04-10 11:53,Bus,4.9,0.15,1.0
2022-11-29 18:12,Bus,3.7,0.18,1.0
2022-07-08 21:23,Bus,1.9,0.06,1.0
2022-12-19 07:17,Bus,7.2,0.26,1.0
2022-07-15 19:32,Bus,6.2,0.24,1.0
2022-11-13 11:32,Bus,3.3,0.15,1.0
2022-02-05 22:44,Bus,3.9,0.15,1.0
2022-04-21 08:08,Bus,4.3,0.15,1.0
2022-02-26 13:33,Bus,9.2,0.43,1.0
2022-08-25 20:40,Bus,3.0,0.17,1.0
2022-05-13 18:16,Bus,4.7,0.2,1.0
2022-04-06 16:41,Bus,6.9,0.23,1.0
2022-12-29 19:39,Bus,2.7,0.1,1.0
2022-08-01 08:12,Bus,3.3,0.18,1.0
2022-10-24 09:10,Bus,2.9,0.15,1.0
2022-02-09 19:37,Bus,9.6,0.31,1.0
2022-08-02 20:22,Bus,8.0,0.3,1.0
2022-05-24 17:57,Bus,2.3,0.09,1.0
2022-05-04 13:15,Bus,1.4,0.06,1.0
2022-12-14 19:14,Bus,2.7,0.1,1.0
2022-08-24 16:10,Bus,2.5,0.1,1.0
2022-07-07 21:40,Bus,4.8,0.17,1.0
2022-03-01 19:52,Bus,1.7,0.08,1.0
2022-04-23 14:37,Bus,2.9,0.11,1.0
2022-04-23 09:46,Bus,3.1,0.11,1.0
2022-02-22 19:33,Bus,1.3,0.06,1.0
2022-10-29 14:52,Bus,1.7,0.08,1.0
2022-08-12 22:00,Bus,1.4,0.05,1.0
2022-05-08 17:18,Bus,2.8,0.11,1.0
2022-12-10 09:08,Bus,4.0,0.18,1.0
2022-10-15 19:36,Bus,14.5,0.52,1.0
2022-11-17 20:24,Bus,2.5,0.1,1.0
2022-05-06 18:26,Bus,4.1,0.16,1.0
2022-07-09 23:22,Bus,4.8,0.22,1.0
2022-07-10 14:01,Bus,5.6,0.23,1.0
2022-12-16 19:34,Bus,4.0,0.12,1.0
2022-07-02 09:43,Bus,3.6,0.11,1.0
2022-08-04 18:14,Bus,12.8,0.5,1.0
2022-11-14 17:45,Bus,5.9,0.2,1.0
2022-04-12 16:14,Bus,1.8,0.06,1.0
2022-04-28 20:37,Bus,2.5,0.09,1.0
2022-07-15 18:48,Bus,0.7,0.03,1.0
2022-11-30 17:58,Bus,0.7,0.03,1.0
2022-09-21 18:41,Bus,1.4,0.05,1.0
2022-12-28 15:20,Bus,5.0,0.24,1.0
2022-04-22 20:14,Bus,4.9,0.19,1.0
2022-04-23 13:17,Bus,7.7,0.29,1.0
2022-06-27 14:02,Bus,2.1,0.08,1.0
2022-10-08 12:06,Bus,2.5,0.12,1.0
2022-03-01 10:38,Bus,1.3,0.05,1.0
2022-04-01 21:23,Bus,0.9,0.03,1.0
2022-02-10 21:01,Bus,3.3,0.15,1.0
2022-03-04 10:33,Bus,4.0,0.15,1.0
2022-09-27 17:11,Bus,4.1,0.22,1.0
2022-07-18 10:59,Bus,2.3,0.09,1.0
2022-05-15 17:20,Bus,4.0,0.16,1.0
2022-07-08 23:00,Bus,3.8,0.15,1.0
2022-12-05 20:12,Bus,12.5,0.46,1.0
2022-05-21 23:55,Bus,1.4,0.07,1.0
2022-01-19 17:08,Bus,2.2,0.1,1.0
2022-09-06 21:33,Bus,4.4,0.19,1.0
2022-08-27 09:16,Bus,3.3,0.23,1.0
2022-03-14 19:25,Bus,4.0,0.16,1.0
2022-03-04 21:53,Bus,1.7,0.06,1.0
2022-03-20 08:18,Bus,6.8,0.22,1.0
2022-02-22 20:35,Bus,4.3,0.17,1.0
2022-12-14 22:26,Bus,2.9,0.11,1.0
2022-02-08 18:29,Bus,3.2,0.13,1.0
2022-10-08 14:29,Bus,5.9,0.32,1.0
2022-11-27 20:23,Bus,1.2,0.03,1.0
2022-03-25 17:00,Bus,4.1,0.16,1.0
2022-01-28 17:39,Bus,2.0,0.09,1.0
2022-07-09 13:34,Bus,2.8,0.09,1.0
2022-02-03 14:51,Bus,7.5,0.24,1.0
2022-12-24 11:59,Bus,0.9,0.03,1.0
2022-04-04 08:12,Bus,7.6,0.36,1.0
2022-06-10 07:03,Bus,7.0,0.23,1.0
2022-06-15 19:25,Bus,3.5,0.15,1.0
2022-11-20 13:43,Bus,3.5,0.12,1.0
2022-12-28 16:41,Bus,10.8,0.66,1.0
2022-02-01 19:40,Bus,3.5,0.13,1.0
2022-01-04 21:55,Bus,2.7,0.12,1.0
2022-01-31 07:46,Bus,3.5,0.15,1.0
2022-05-25 11:01,Bus,3.5,0.11,1.0
2022-02-03 15:21,Bus,0.7,0.03,1.0
2022-05-27 21:53,Bus,5.0,0.29,1.0
2022-03-29 14:24,Bus,2.8,0.13,1.0
2022-01-26 17:09,Bus,3.6,0.22,1.0
2022-10-25 17:45,Bus,3.1,0.14,1.0
2022-01-10 09:26,Bus,1.7,0.08,1.0
2022-06-12 12:49,Bus,1.7,0.06,1.0
2022-09-24 14:33,Bus,3.3,0.13,1.0
2022-10-22 13:05,Bus,5.3,0.21,1.0
2022-09-09 08:13,Bus,3.8,0.27,1.0
2022-12-27 19:14,Bus,3.3,0.11,1.0
2022-07-14 07:32,Bus,2.6,0.12,1.0
2022-03-21 17:21,Bus,8.0,0.33,1.0
2022-08-23 15:39,Bus,2.6,0.11,1.0
2022-07-20 17:45,Bus,2.0,0.07,1.0
2022-08-21 15:25,Bus,2.8,0.09,1.0
2022-12-20 07:36,Bus,11.9,0.51,1.0
2022-02-14 19:45,Bus,9.6,0.29,1.0
2022-10-29 14:14,Bus,9.4,0.43,1.0
2022-04-19 11:53,Bus,7.9,0.28,1.0
2022-08-25 16:49,Bus,9.4,0.54,1.0
2022-10-13 19:21,Bus,1.5,0.06,1.0
2022-12-29 20:09,Bus,7.4,0.37,1.0
2022-09-18 22:58,Bus,3.3,0.18,1.0
2022-11-10 19:50,Bus,5.5,0.25,1.0
2022-10-01 18:29,Bus,6.3,0.34,1.0
2022-09-23 19:14,Bus,13.7,0.51,1.0
2022-08-27 21:07,Bus,2.3,0.09,1.0
2022-09-02 07:45,Bus,6.2,0.23,1.0
2022-10-17 15:14,Bus,5.3,0.23,1.0
2022-06-13 12:07,Bus,1.9,0.07,1.0
2022-04-24 15:59,Bus,6.3,0.3,1.0
2022-12-20 10:43,Bus,2.5,0.08,1.0
2022-06-09 19:53,Bus,5.9,0.21,1.0
2022-05-05 12:30,Bus,4.5,0.15,1.0
2022-12-28 18:54,Bus,4.1,0.15,1.0
2022-09-29 11:13,Bus,3.0,0.14,1.0
2022-04-04 16:17,Bus,6.2,0.21,1.0
2022-08-16 20:54,Bus,8.1,0.27,1.0
2022-02-16 17:17,Bus,6.4,0.3,1.0
2022-05-13 17:25,Bus,4.6,0.19,1.0
2022-12-03 23:17,Bus,6.4,0.26,1.0
2022-10-19 10:33,Bus,7.7,0.29,1.0
2022-03-19 19:05,Bus,2.7,0.13,1.0
2022-11-03 19:39,Bus,9.3,0.49,1.0
2022-01-04 09:46,Bus,3.6,0.16,1.0
2022-08-07 22:25,Bus,5.6,0.19,1.0
2022-06-12 15:20,Bus,7.4,0.22,1.0
2022-12-09 20:21,Bus,7.7,0.33,1.0
2022-05-19 10:33,Bus,7.6,0.25,1.0
2022-09-05 13:09,Bus,9.0,0.35,1.0
2022-01-25 17:45,Bus,3.4,0.18,1.0
2022-02-24 19:41,Bus,6.7,0.27,1.0
2022-11-22 11:25,Bus,3.3,0.14,1.0
2022-03-17 16:28,Bus,1.8,0.07,1.0
2022-11-02 16:18,Bus,5.1,0.21,1.0
2022-08-17 18:44,Bus,1.4,0.06,1.0
2022-04-11 08:03,Bus,4.0,0.17,1.0
2022-04-23 18:17,Bus,1.4,0.05,1.0
2022-08-17 20:25,Bus,10.4,0.46,1.0
2022-09-29 20:56,Bus,5.3,0.2,1.0
2022-03-15 10:02,Bus,6.5,0.35,1.0
2022-02-26 20:03,Bus,3.8,0.17,1.0
2022-11-26 12:16,Bus,1.8,0.08,1.0
2022-07-19 11:40,Bus,1.4,0.08,1.0
2022-08-03 14:14,Bus,20.5,0.79,1.0
2022-09-19 22:02,Bus,3.0,0.13,1.0
2022-02-09 19:43,Bus,1.5,0.05,1.0
2022-11-13 16:32,Bus,3.3,0.12,1.0
2022-10-22 15:01,Bus,4.5,0.23,1.0
2022-07-04 20:02,Bus,5.6,0.18,1.0
2022-04-02 22:44,Bus,4.7,0.15,1.0
2022-10-17 08:31,Bus,6.5,0.43,1.0
2022-03-31 11:22,Bus,5.5,0.2,1.0
2022-03-08 10:09,Bus,1.2,0.05,1.0
2022-10-09 17:56,Bus,1.0,0.04,1.0
2022-03-23 12:00,Bus,1.8,0.09,1.0
2022-09-11 09:36,Bus,1.3,0.05,1.0
2022-03-28 21:08,Bus,4.4,0.22,1.0
2022-12-12 08:10,Bus,3.4,0.16,1.0
2022-01-06 08:14,Bus,4.0,0.22,1.0
2022-06-08 20:07,Bus,8.7,0.39,1.0
2022-11-20 12:56,Bus,5.1,0.19,1.0
2022-02-19 12:37,Bus,2.7,0.17,1.0
2022-03-13 12:35,Bus,3.4,0.12,1.0
2022-04-22 07:24,Bus,4.1,0.15,1.0
2022-07-07 16:58,Bus,1.5,0.07,1.0
2022-12-08 20:41,Bus,6.6,0.21,1.0
2022-02-22 08:33,Bus,2.4,0.15,1.0
